Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
HSCL,2022-07-25 00:00:00+05:30,84.15,85.69,78.88,80.87,13753312,0.0,0.0
HSCL,2022-08-01 00:00:00+05:30,80.82,97.48,79.97,93.15,74249343,0.0,0.0
HSCL,2022-08-08 00:00:00+05:30,93.65,98.47,90.32,94.99,51240309,0.0,0.0
HSCL,2022-08-15 00:00:00+05:30,94.99,103.94,94.99,99.77,44410588,0.0,0.0
HSCL,2022-08-22 00:00:00+05:30,99.47,99.77,94.0,95.69,24606095,0.0,0.0
HSCL,2022-08-29 00:00:00+05:30,91.91,102.95,91.51,98.72,26767774,0.0,0.0
HSCL,2022-09-05 00:00:00+05:30,99.22,105.24,98.18,99.22,32665011,0.0,0.0
HSCL,2022-09-12 00:00:00+05:30,99.72,106.63,97.58,101.01,38456761,0.0,0.0
HSCL,2022-09-19 00:00:00+05:30,101.26,108.27,99.27,102.7,35218287,0.2,0.0
HSCL,2022-09-26 00:00:00+05:30,101.11,101.41,95.97,99.11,23371491,0.0,0.0
HSCL,2022-10-03 00:00:00+05:30,99.16,108.48,96.32,107.14,26253630,0.0,0.0
HSCL,2022-10-10 00:00:00+05:30,104.94,106.54,96.22,101.66,24626424,0.0,0.0
HSCL,2022-10-17 00:00:00+05:30,101.85,106.14,99.31,100.66,17654138,0.0,0.0
HSCL,2022-10-24 00:00:00+05:30,101.56,105.59,100.96,103.1,10488365,0.0,0.0
HSCL,2022-10-31 00:00:00+05:30,104.65,105.59,99.91,101.01,16266924,0.0,0.0
HSCL,2022-11-07 00:00:00+05:30,101.66,102.05,95.33,95.88,13390057,0.0,0.0
HSCL,2022-11-14 00:00:00+05:30,95.83,104.15,93.78,102.0,22036045,0.0,0.0
HSCL,2022-11-21 00:00:00+05:30,102.0,105.94,96.72,102.55,18171116,0.0,0.0
HSCL,2022-11-28 00:00:00+05:30,103.05,105.09,99.76,100.76,15061309,0.0,0.0
HSCL,2022-12-05 00:00:00+05:30,101.46,106.94,98.91,99.46,15067775,0.0,0.0
HSCL,2022-12-12 00:00:00+05:30,99.46,100.56,95.97,97.62,9370694,0.0,0.0
HSCL,2022-12-19 00:00:00+05:30,98.12,98.91,82.12,85.51,15079039,0.0,0.0
HSCL,2022-12-26 00:00:00+05:30,83.37,103.15,82.37,100.46,19073561,0.0,0.0
HSCL,2023-01-02 00:00:00+05:30,100.66,101.36,93.58,95.58,6113906,0.0,0.0
HSCL,2023-01-09 00:00:00+05:30,96.42,98.17,92.59,94.98,7376444,0.0,0.0
HSCL,2023-01-16 00:00:00+05:30,95.48,96.42,91.29,93.53,8135480,0.0,0.0
HSCL,2023-01-23 00:00:00+05:30,93.98,94.58,86.21,90.59,5080930,0.0,0.0
HSCL,2023-01-30 00:00:00+05:30,90.59,93.68,85.51,87.15,6056008,0.0,0.0
HSCL,2023-02-06 00:00:00+05:30,87.1,93.18,86.31,91.64,5264759,0.0,0.0
HSCL,2023-02-13 00:00:00+05:30,94.68,94.68,86.06,90.0,8126390,0.0,0.0
HSCL,2023-02-20 00:00:00+05:30,90.04,90.44,83.37,84.07,3725118,0.0,0.0
HSCL,2023-02-27 00:00:00+05:30,83.82,88.7,79.93,87.1,7646614,0.0,0.0
HSCL,2023-03-06 00:00:00+05:30,87.5,91.04,86.46,90.74,5686239,0.0,0.0
HSCL,2023-03-13 00:00:00+05:30,91.24,91.79,87.85,89.4,8485864,0.0,0.0
HSCL,2023-03-20 00:00:00+05:30,88.3,88.65,83.42,83.87,4819079,0.0,0.0
HSCL,2023-03-27 00:00:00+05:30,83.72,89.2,80.13,87.01,7624857,0.0,0.0
HSCL,2023-04-03 00:00:00+05:30,87.2,91.09,87.2,89.3,3585633,0.0,0.0
HSCL,2023-04-10 00:00:00+05:30,89.25,92.24,88.0,90.44,5921959,0.0,0.0
HSCL,2023-04-17 00:00:00+05:30,90.94,101.41,88.1,100.76,17675730,0.0,0.0
HSCL,2023-04-24 00:00:00+05:30,101.51,104.6,100.46,103.2,11649090,0.0,0.0
HSCL,2023-05-01 00:00:00+05:30,103.2,123.13,103.2,113.76,44547427,0.0,0.0
HSCL,2023-05-08 00:00:00+05:30,114.66,124.18,113.76,121.24,21904421,0.0,0.0
HSCL,2023-05-15 00:00:00+05:30,121.24,122.34,114.66,121.24,13001330,0.0,0.0
HSCL,2023-05-22 00:00:00+05:30,121.29,131.26,117.05,126.82,24382884,0.0,0.0
HSCL,2023-05-29 00:00:00+05:30,127.42,128.76,122.39,126.47,13451514,0.0,0.0
HSCL,2023-06-05 00:00:00+05:30,127.22,133.55,127.12,128.76,16015216,0.25,0.0
HSCL,2023-06-12 00:00:00+05:30,129.61,137.45,127.41,132.45,17100273,0.0,0.0
HSCL,2023-06-19 00:00:00+05:30,133.1,138.15,130.26,130.86,12900998,0.0,0.0
HSCL,2023-06-26 00:00:00+05:30,131.21,135.7,129.21,132.5,6281507,0.0,0.0
HSCL,2023-07-03 00:00:00+05:30,133.25,133.65,127.56,128.76,10520563,0.0,0.0
HSCL,2023-07-10 00:00:00+05:30,129.36,143.49,125.31,142.54,25987767,0.0,0.0
HSCL,2023-07-17 00:00:00+05:30,144.79,148.93,137.4,140.84,26014294,0.0,0.0
HSCL,2023-07-24 00:00:00+05:30,141.49,142.69,135.8,136.15,7352342,0.0,0.0
HSCL,2023-07-31 00:00:00+05:30,137.15,142.69,133.3,141.59,12419733,0.0,0.0
HSCL,2023-08-07 00:00:00+05:30,142.29,166.35,141.64,165.15,38767951,0.0,0.0
HSCL,2023-08-14 00:00:00+05:30,165.8,176.04,158.81,166.75,25981191,0.0,0.0
HSCL,2023-08-21 00:00:00+05:30,167.65,193.91,167.4,190.62,42425921,0.0,0.0
HSCL,2023-08-28 00:00:00+05:30,192.46,234.3,191.47,233.0,65878119,0.0,0.0
HSCL,2023-09-04 00:00:00+05:30,234.7,288.52,234.65,274.59,44470894,0.0,0.0
