Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2022-01-04 00:00:00+05:30,102.47,102.47,97.59,99.29,501157,0.0,0.0
TI,2022-01-05 00:00:00+05:30,99.54,101.53,94.71,99.39,289085,0.0,0.0
TI,2022-01-06 00:00:00+05:30,97.64,101.08,96.7,98.34,126262,0.0,0.0
TI,2022-01-07 00:00:00+05:30,97.89,99.24,93.46,93.86,318851,0.0,0.0
TI,2022-01-10 00:00:00+05:30,96.3,96.3,90.82,91.42,195480,0.0,0.0
TI,2022-01-11 00:00:00+05:30,92.02,95.35,89.63,92.62,220908,0.0,0.0
TI,2022-01-12 00:00:00+05:30,94.41,94.41,88.03,91.27,188943,0.0,0.0
TI,2022-01-13 00:00:00+05:30,89.63,91.62,88.38,90.57,120794,0.0,0.0
TI,2022-01-14 00:00:00+05:30,89.63,91.12,88.63,90.28,146481,0.0,0.0
TI,2022-01-17 00:00:00+05:30,90.23,90.28,88.18,89.63,70126,0.0,0.0
TI,2022-01-18 00:00:00+05:30,88.23,91.47,87.64,88.23,134446,0.0,0.0
TI,2022-01-19 00:00:00+05:30,88.23,90.03,86.64,89.33,95260,0.0,0.0
TI,2022-01-20 00:00:00+05:30,88.63,90.62,87.64,88.58,72336,0.0,0.0
TI,2022-01-21 00:00:00+05:30,86.44,89.58,84.3,85.05,148682,0.0,0.0
TI,2022-01-24 00:00:00+05:30,86.04,86.04,80.81,80.81,191423,0.0,0.0
TI,2022-01-25 00:00:00+05:30,76.78,81.66,76.78,80.96,289950,0.0,0.0
TI,2022-01-27 00:00:00+05:30,79.37,80.72,77.28,79.32,98731,0.0,0.0
TI,2022-01-28 00:00:00+05:30,80.67,82.56,77.68,78.92,96093,0.0,0.0
TI,2022-01-31 00:00:00+05:30,80.62,80.67,77.68,78.23,107830,0.0,0.0
TI,2022-02-01 00:00:00+05:30,78.28,78.62,75.84,78.23,105310,0.0,0.0
TI,2022-02-02 00:00:00+05:30,78.67,80.81,77.83,78.47,105519,0.0,0.0
TI,2022-02-03 00:00:00+05:30,79.47,79.47,74.59,77.38,89254,0.0,0.0
TI,2022-02-04 00:00:00+05:30,78.28,78.28,76.18,77.23,66425,0.0,0.0
TI,2022-02-07 00:00:00+05:30,79.57,81.06,76.68,78.62,227293,0.0,0.0
TI,2022-02-08 00:00:00+05:30,80.62,82.51,77.68,81.71,576691,0.0,0.0
TI,2022-02-09 00:00:00+05:30,83.25,85.0,78.62,79.72,824511,0.0,0.0
TI,2022-02-10 00:00:00+05:30,79.92,80.62,76.78,77.48,233977,0.0,0.0
TI,2022-02-11 00:00:00+05:30,76.68,78.62,75.04,77.13,134106,0.0,0.0
TI,2022-02-14 00:00:00+05:30,73.3,75.49,73.3,73.3,179748,0.0,0.0
