Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2022-05-02 00:00:00+05:30,67.07,69.61,62.24,62.54,640416,0.0,0.0
TI,2022-05-09 00:00:00+05:30,60.25,62.89,51.29,51.59,1232250,0.0,0.0
TI,2022-05-16 00:00:00+05:30,51.59,63.09,50.44,63.09,872089,0.0,0.0
TI,2022-05-23 00:00:00+05:30,66.23,72.95,63.39,66.72,1660958,0.0,0.0
TI,2022-05-30 00:00:00+05:30,68.27,73.1,65.63,67.97,848510,0.0,0.0
TI,2022-06-06 00:00:00+05:30,68.71,76.98,66.77,73.84,1556322,0.0,0.0
TI,2022-06-13 00:00:00+05:30,72.9,73.2,64.53,69.06,797987,0.0,0.0
TI,2022-06-20 00:00:00+05:30,70.16,71.55,65.63,67.97,600147,0.0,0.0
TI,2022-06-27 00:00:00+05:30,69.31,72.5,66.37,72.5,959237,0.0,0.0
TI,2022-07-04 00:00:00+05:30,74.49,81.26,73.74,77.83,1692262,0.0,0.0
TI,2022-07-11 00:00:00+05:30,77.68,84.35,76.83,78.52,1235305,0.0,0.0
TI,2022-07-18 00:00:00+05:30,78.52,82.16,76.93,80.86,840631,0.0,0.0
TI,2022-07-25 00:00:00+05:30,81.16,81.56,75.24,77.18,564769,0.0,0.0
TI,2022-08-01 00:00:00+05:30,78.47,83.55,77.03,79.12,1292878,0.0,0.0
TI,2022-08-08 00:00:00+05:30,81.06,81.46,76.23,77.03,594117,0.0,0.0
TI,2022-08-15 00:00:00+05:30,77.03,77.98,71.7,76.13,769673,0.1,0.0
TI,2022-08-22 00:00:00+05:30,76.48,77.98,72.15,75.84,647007,0.0,0.0
TI,2022-08-29 00:00:00+05:30,75.84,81.27,72.64,79.13,908487,0.0,0.0
TI,2022-09-05 00:00:00+05:30,80.72,83.46,75.49,81.02,1072691,0.0,0.0
TI,2022-09-12 00:00:00+05:30,81.67,86.8,76.83,86.71,3109674,0.0,0.0
TI,2022-09-19 00:00:00+05:30,88.15,94.73,87.75,91.09,3573445,0.0,0.0
TI,2022-09-26 00:00:00+05:30,90.94,97.13,86.9,91.19,2186851,0.0,0.0
TI,2022-10-03 00:00:00+05:30,92.39,109.54,89.75,106.7,3605653,0.0,0.0
TI,2022-10-10 00:00:00+05:30,104.7,107.99,96.53,99.47,10759680,0.0,0.0
TI,2022-10-17 00:00:00+05:30,100.57,100.57,93.24,94.73,1066897,0.0,0.0
TI,2022-10-24 00:00:00+05:30,94.83,99.17,92.74,94.58,419526,0.0,0.0
TI,2022-10-31 00:00:00+05:30,95.73,99.52,90.59,95.73,902356,0.0,0.0
TI,2022-11-07 00:00:00+05:30,97.62,103.71,95.73,98.47,1260850,0.0,0.0
TI,2022-11-14 00:00:00+05:30,100.62,100.67,94.73,95.53,611525,0.0,0.0
TI,2022-11-21 00:00:00+05:30,96.68,101.61,93.74,98.62,831438,0.0,0.0
TI,2022-11-28 00:00:00+05:30,100.57,114.38,98.42,106.1,3804350,0.0,0.0
TI,2022-12-05 00:00:00+05:30,107.1,109.19,98.32,99.82,782561,0.0,0.0
TI,2022-12-12 00:00:00+05:30,100.62,104.6,97.03,99.02,937556,0.0,0.0
TI,2022-12-19 00:00:00+05:30,102.11,104.7,92.34,95.58,1723699,0.0,0.0
TI,2022-12-26 00:00:00+05:30,97.57,110.69,96.68,109.99,1451521,0.0,0.0
TI,2023-01-02 00:00:00+05:30,110.74,120.86,110.74,116.47,2651134,0.0,0.0
TI,2023-01-09 00:00:00+05:30,119.56,124.05,111.68,117.02,3363097,0.0,0.0
TI,2023-01-16 00:00:00+05:30,116.67,126.74,115.42,117.52,2058101,0.0,0.0
TI,2023-01-23 00:00:00+05:30,118.57,119.71,109.09,109.09,722216,0.0,0.0
TI,2023-01-30 00:00:00+05:30,107.9,117.62,103.96,108.04,1547312,0.0,0.0
TI,2023-02-06 00:00:00+05:30,108.04,125.0,103.96,121.11,2626100,0.0,0.0
TI,2023-02-13 00:00:00+05:30,121.11,122.15,111.09,113.98,978631,0.0,0.0
TI,2023-02-20 00:00:00+05:30,115.07,119.31,112.08,113.73,1507238,0.0,0.0
TI,2023-02-27 00:00:00+05:30,112.68,120.16,110.79,112.98,1285651,0.0,0.0
TI,2023-03-06 00:00:00+05:30,113.18,114.58,103.71,106.55,1452604,0.0,0.0
TI,2023-03-13 00:00:00+05:30,106.7,110.69,97.92,106.65,1869249,0.0,0.0
TI,2023-03-20 00:00:00+05:30,105.7,111.39,101.96,103.61,1403105,0.0,0.0
TI,2023-03-27 00:00:00+05:30,104.7,113.68,98.57,112.38,1634615,0.0,0.0
TI,2023-04-03 00:00:00+05:30,114.68,117.47,112.63,113.98,1192664,0.0,0.0
TI,2023-04-10 00:00:00+05:30,114.53,120.71,112.28,116.42,1185060,0.0,0.0
TI,2023-04-17 00:00:00+05:30,116.97,117.77,110.19,115.92,651970,0.0,0.0
TI,2023-04-24 00:00:00+05:30,116.17,132.33,113.68,123.95,3914397,0.0,0.0
TI,2023-05-01 00:00:00+05:30,123.95,140.55,123.8,133.62,4631920,0.0,0.0
TI,2023-05-08 00:00:00+05:30,134.52,140.15,127.64,130.73,1879931,0.0,0.0
TI,2023-05-15 00:00:00+05:30,132.43,156.96,131.68,150.62,9033000,0.0,0.0
TI,2023-05-22 00:00:00+05:30,151.17,155.96,144.59,151.97,2783503,0.0,0.0
TI,2023-05-29 00:00:00+05:30,153.37,159.55,149.58,154.06,2548641,0.0,0.0
TI,2023-06-05 00:00:00+05:30,154.31,155.46,146.69,149.08,1780317,0.0,0.0
TI,2023-06-12 00:00:00+05:30,149.08,150.77,143.64,145.29,964254,0.0,0.0
TI,2023-06-19 00:00:00+05:30,146.29,149.73,140.15,143.3,1067366,0.0,0.0
TI,2023-06-26 00:00:00+05:30,143.54,147.98,139.71,142.1,852860,0.0,0.0
TI,2023-07-03 00:00:00+05:30,140.8,159.15,140.8,148.08,3653466,0.0,0.0
TI,2023-07-10 00:00:00+05:30,149.28,166.53,142.9,160.85,3882322,0.0,0.0
TI,2023-07-17 00:00:00+05:30,162.94,172.61,161.79,171.52,3213170,0.0,0.0
TI,2023-07-24 00:00:00+05:30,172.66,177.85,163.69,166.13,2551951,0.0,0.0
TI,2023-07-31 00:00:00+05:30,166.53,175.2,164.98,172.51,1847149,0.0,0.0
TI,2023-08-07 00:00:00+05:30,174.11,202.38,169.62,195.15,9624035,0.0,0.0
TI,2023-08-14 00:00:00+05:30,198.39,218.28,191.86,203.62,5150122,0.0,0.0
TI,2023-08-21 00:00:00+05:30,204.92,224.32,196.49,208.51,4146079,0.0,0.0
TI,2023-08-28 00:00:00+05:30,211.4,220.38,207.81,215.29,1954154,0.0,0.0
TI,2023-09-04 00:00:00+05:30,217.73,221.37,209.46,212.25,1817784,0.0,0.0
TI,2023-09-11 00:00:00+05:30,214.05,218.08,195.3,215.14,2624684,0.0,0.0
TI,2023-09-18 00:00:00+05:30,215.14,215.14,201.83,204.27,1092515,0.25,0.0
TI,2023-09-25 00:00:00+05:30,205.62,206.42,196.78,202.37,1038333,0.0,0.0
